gene_symbol,mean_DMD,mean_control,log2FC,p_value,padj,neg_log10_padj,regulation
ZNF81,3.009522145520833,2.9930703117499995,0.0164518337708337,0.8017565847614551,0.8920215569502203,0.0496246501626631,not_significant
CCDC65,2.2754487382291666,2.2719194671666663,0.0035292710625003387,0.8018368317879767,0.8920460381256677,0.049612731287574145,not_significant
PPP1R3D,5.32589729684375,5.403457539500001,-0.07756024265625072,0.802554123639594,0.892798371843903,0.0492466104090204,not_significant
CCDC148,2.3646589054375,2.3784339909999996,-0.013775085562499623,0.8028471275856591,0.893078655244977,0.049110290232873256,not_significant
IGF2BP2,3.3738899543749996,3.326211347583333,0.04767860679166658,0.802948937542691,0.8931462386870459,0.04907742638009383,not_significant
LINC01554,2.326520039125,2.3431391246666666,-0.01661908554166658,0.8030789634920499,0.8932451991804052,0.04902930927056754,not_significant
LINC00174,2.3014160814999998,2.2915700109999997,0.009846070500000081,0.8032896415243687,0.8934338523191534,0.04893759608079485,not_significant
SLC3A1,2.4531584127083335,2.4434330115000003,0.009725401208333206,0.8035087116912509,0.8936318195819828,0.04884137567709304,not_significant
CHAC1,2.3292465163125002,2.3425541629999995,-0.013307646687499286,0.8036298884131141,0.8936752145594897,0.048820286743946936,not_significant
EXOSC5,7.1235967581875,7.157808428999999,-0.03421167081249887,0.8036120998788339,0.8936752145594897,0.048820286743946936,not_significant
AASDH,5.884720572687501,5.830527322499999,0.05419325018750154,0.8036936908990747,0.8937004828005198,0.04880800744792236,not_significant
SSMEM1,2.2660852037187498,2.264791278833333,0.0012939248854166863,0.8040155961232793,0.8940127418176306,0.04865629142594815,not_significant
ZFP36,8.504848690500001,8.3782645355,0.12658415500000153,0.8043324447749512,0.8943193466257316,0.04850737414324828,not_significant
OSCP1,3.9675094476875,4.002701588833333,-0.03519214114583313,0.8044932246289569,0.8944523995401931,0.0484427665187348,not_significant
RAB11B-AS1,3.7976317997500004,3.776064466416667,0.021567333333333494,0.8051859281139112,0.8951768124549334,0.04809117575729063,not_significant
MIR6513,9.281736146875,9.301869686666667,-0.020133539791666877,0.8053307910448431,0.8952921129940498,0.048035241373558885,not_significant
PHC2,5.0492512288125,5.065479939777778,-0.01622871096527767,0.8056804374098101,0.8956350493536239,0.047868919287927955,not_significant
CTB-12O2.1,2.3033276153749997,2.3179540624166663,-0.014626447041666601,0.8058759126460753,0.8958065750148366,0.047785754257726784,not_significant
STT3B,10.57923569875,10.558983025000002,0.02025267374999906,0.805970683260985,0.8958661462468184,0.047756874588987766,not_significant
SENP1,3.7723213793125,3.7955780491666666,-0.023256669854166745,0.8065316337851194,0.8964438610839051,0.047476902515492296,not_significant
VTI1A,3.5264633131375,3.5424891338666664,-0.016025820729166362,0.8069243339522942,0.896834519522436,0.047287683921567784,not_significant
